ECOREGION_CODE,ECO_NAME,Shrubland_CF,Protected_shrubland_CF,Grassland_CF,Protected_grassland_CF,Tundra_CF,Forest_CF,Protected_forest_CF,Pasture_CF,Protected_pasture_CF,Irrigated_crop_CF,Rainfed_crop_CF,Rockicedesert_CF,Urban_CF
IM0501,Eastern Himalayan subalpine conifer forests,0,0,0,0,0,4.42E-10,0,7.47E-10,0,7.27E-10,5.95E-10,0,8.91E-10
IM0502,Western Himalayan subalpine conifer forests,0,0,0,0,0,1.83E-10,0,2.96E-10,0,2.81E-10,2.28E-10,0,3.51E-10
IM0701,Terai-Duar savanna and grasslands,0,0,0,0,0,3.23E-10,0,4.50E-10,0,4.44E-10,3.96E-10,0,4.83E-10
IM0901,Rann of Kutch seasonal salt marsh,0,0,0,0,0,1.40E-11,0,1.98E-11,0,1.94E-11,1.71E-11,0,2.13E-11
IM1001,Kinabalu montane alpine meadows,0,0,0,0,0,6.49E-09,0,1.12E-08,0,1.11E-08,9.08E-09,0,1.34E-08
IM1301,Deccan thorn scrub forests,0,0,0,0,0,2.70E-11,0,3.56E-11,0,3.45E-11,3.09E-11,0,3.77E-11
IM1302,Indus Valley desert,0,0,0,0,0,1.65E-11,0,2.30E-11,0,2.26E-11,2.00E-11,0,2.47E-11
IM1303,Northwestern thorn scrub forests,0,0,0,0,0,1.16E-11,0,1.34E-11,0,1.31E-11,1.22E-11,0,1.39E-11
IM1304,Thar desert,0,0,0,0,0,5.74E-12,0,6.55E-12,0,6.19E-12,5.61E-12,0,6.82E-12
IM1401,Goadavari-Krishna mangroves,0,0,0,0,0,8.93E-11,0,1.60E-10,0,1.47E-10,1.16E-10,0,1.92E-10
IM1402,Indochina mangroves,0,0,0,0,0,6.81E-11,0,1.06E-10,0,1.00E-10,8.36E-11,0,1.23E-10
IM1403,Indus River Delta-Arabian Sea mangroves,0,0,0,0,0,3.00E-11,0,4.87E-11,0,4.60E-11,3.74E-11,0,5.75E-11
IM1404,Myanmar Coast mangroves,0,0,0,0,0,5.85E-11,0,9.03E-11,0,8.36E-11,6.89E-11,0,1.04E-10
IM1405,Sunda Shelf mangroves,0,0,0,0,0,1.10E-10,0,1.61E-10,0,1.52E-10,1.30E-10,0,1.83E-10
IM1406,Sundarbans mangroves,0,0,0,0,0,5.67E-11,0,9.84E-11,0,9.20E-11,7.27E-11,0,1.18E-10
NA0201,Sonoran-Sinaloan transition subtropical dry forest,0,0,0,0,0,8.72E-11,0,1.37E-10,0,1.34E-10,1.13E-10,0,1.60E-10
NA0302,Sierra Madre Occidental pine-oak forests,0,0,0,0,0,1.63E-10,0,2.74E-10,0,2.69E-10,2.23E-10,0,3.25E-10
NA0303,Sierra Madre Oriental pine-oak forests,0,0,0,0,0,4.40E-10,0,7.38E-10,0,7.24E-10,6.00E-10,0,8.75E-10
NA0401,Allegheny Highlands forests,0,0,0,0,0,2.66E-11,0,4.31E-11,0,4.20E-11,3.47E-11,0,5.10E-11
NA0402,Appalachian mixed mesophytic forests,0,0,0,0,0,3.95E-11,0,4.91E-11,0,4.80E-11,4.35E-11,0,5.38E-11
